feature_name,source_file,source_column,block_name,geography,transform_type,native_frequency,lag_months,available_in_feature_master_monthly,available_in_modeling_panel_hstack,is_interaction,first_valid_date,last_valid_date,nonmissing_count,nonmissing_share,notes
china_cli_delta_1m,country_level_macro_data/china_cli.csv,COMPOSITE LEADING IN,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cli
china_cmi,country_level_macro_data/china_gdp_cmi.csv,CMI,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cmi_delta_1m,country_level_macro_data/china_gdp_cmi.csv,CMI,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cmi
china_cpi_clothing,country_level_macro_data/china_cpi_data.csv,Clothing,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_clothing_delta_1m,country_level_macro_data/china_cpi_data.csv,Clothing,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_clothing
china_cpi_core,country_level_macro_data/china_cpi_data.csv,Core,china_macro,CHINA,level,monthly,1,1,1,0,2008-03-31,2026-02-28,3240,0.8925619834710744,
china_cpi_core_delta_1m,country_level_macro_data/china_cpi_data.csv,Core,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2008-04-30,2026-02-28,3225,0.8884297520661157,Derived from china_cpi_core
china_cpi_education_culture,country_level_macro_data/china_cpi_data.csv,Education culture & recreation,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_education_culture_delta_1m,country_level_macro_data/china_cpi_data.csv,Education culture & recreation,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_education_culture
china_cpi_food,country_level_macro_data/china_cpi_data.csv,Food,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_food_delta_1m,country_level_macro_data/china_cpi_data.csv,Food,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_food
china_cpi_headline,country_level_macro_data/china_cpi_data.csv,Headline,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_headline_delta_1m,country_level_macro_data/china_cpi_data.csv,Headline,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_headline
china_cpi_health_care,country_level_macro_data/china_cpi_data.csv,Health care,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_health_care_delta_1m,country_level_macro_data/china_cpi_data.csv,Health care,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_health_care
china_cpi_household_articles,country_level_macro_data/china_cpi_data.csv,Household articles & services,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_household_articles_delta_1m,country_level_macro_data/china_cpi_data.csv,Household articles & services,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_household_articles
china_cpi_residence,country_level_macro_data/china_cpi_data.csv,Residence,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_residence_delta_1m,country_level_macro_data/china_cpi_data.csv,Residence,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_residence
china_cpi_transport_comm,country_level_macro_data/china_cpi_data.csv,Transport and communication,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_cpi_transport_comm_delta_1m,country_level_macro_data/china_cpi_data.csv,Transport and communication,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_cpi_transport_comm
china_div_yield,country_level_macro_data/China_dividend_yield.csv,China,china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_div_yield_delta_1m,country_level_macro_data/China_dividend_yield.csv,China,china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_div_yield
china_div_yield_em,country_level_macro_data/China_dividend_yield.csv,Emerging markets,china_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_div_yield_em_delta_1m,country_level_macro_data/China_dividend_yield.csv,Emerging markets,china_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_div_yield_em
china_div_yield_spread,country_level_macro_data/China_dividend_yield.csv,Spread (RHS),china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_div_yield_spread_delta_1m,country_level_macro_data/China_dividend_yield.csv,Spread (RHS),china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_div_yield_spread
china_fiscal_expenditure,country_level_macro_data/china_fiscal_socioeconomic.csv,Expenditure,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_fiscal_expenditure_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,Expenditure,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_fiscal_expenditure
china_fiscal_revenue,country_level_macro_data/china_fiscal_socioeconomic.csv,Revenue,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_fiscal_revenue_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,Revenue,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_fiscal_revenue
china_gdp_official,country_level_macro_data/china_gdp_cmi.csv,Official GDP,china_macro,CHINA,level,quarterly,4,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_gdp_official_delta_1m,country_level_macro_data/china_gdp_cmi.csv,Official GDP,china_macro,CHINA,delta_1m,quarterly,4,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_gdp_official
china_houseprice_100cities,country_level_macro_data/china_fiscal_socioeconomic.csv,China Index Academy avg 100 cities,china_macro,CHINA,level,monthly,1,1,1,0,2011-08-31,2026-02-28,2625,0.7231404958677686,
china_houseprice_100cities_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,China Index Academy avg 100 cities,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2011-09-30,2026-02-28,2610,0.71900826446281,Derived from china_houseprice_100cities
china_houseprice_nbs_existing70,country_level_macro_data/china_fiscal_socioeconomic.csv,NBS avg 70 cities existing,china_macro,CHINA,level,monthly,1,1,1,0,2011-03-31,2026-02-28,2700,0.743801652892562,
china_houseprice_nbs_existing70_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,NBS avg 70 cities existing,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2011-04-30,2026-02-28,2685,0.7396694214876033,Derived from china_houseprice_nbs_existing70
china_houseprice_nbs_new70,country_level_macro_data/china_fiscal_socioeconomic.csv,NBS avg 70 cities newly built,china_macro,CHINA,level,monthly,1,1,1,0,2011-03-31,2026-02-28,2700,0.743801652892562,
china_houseprice_nbs_new70_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,NBS avg 70 cities newly built,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2011-04-30,2026-02-28,2685,0.7396694214876033,Derived from china_houseprice_nbs_new70
china_ip_growth,country_level_macro_data/china_industrial_production.csv,INDUSTRIAL PROD.: GR,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_ip_growth_delta_1m,country_level_macro_data/china_industrial_production.csv,INDUSTRIAL PROD.: GR,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_ip_growth
china_m2_yoy,country_level_macro_data/china_fiscal_socioeconomic.csv,MONEY SUPPLY - M2 YOY,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_m2_yoy_delta_1m,country_level_macro_data/china_fiscal_socioeconomic.csv,MONEY SUPPLY - M2 YOY,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_m2_yoy
china_pe,country_level_macro_data/China_price_to_earnings.csv,China,china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_pe_delta_1m,country_level_macro_data/China_price_to_earnings.csv,China,china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_pe
china_pe_em,country_level_macro_data/China_price_to_earnings.csv,Emerging markets,china_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_pe_em_delta_1m,country_level_macro_data/China_price_to_earnings.csv,Emerging markets,china_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_pe_em
china_pe_spread,country_level_macro_data/China_price_to_earnings.csv,Spread (RHS),china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_pe_spread_delta_1m,country_level_macro_data/China_price_to_earnings.csv,Spread (RHS),china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_pe_spread
china_pmi_caixin_mfg,country_level_macro_data/china_pmi.csv,Caixin manufacturing,china_macro,CHINA,level,monthly,1,1,1,0,2023-05-31,2026-02-28,510,0.14049586776859505,
china_pmi_caixin_mfg_delta_1m,country_level_macro_data/china_pmi.csv,Caixin manufacturing,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2023-06-30,2026-02-28,495,0.13636363636363635,Derived from china_pmi_caixin_mfg
china_pmi_caixin_services,country_level_macro_data/china_pmi.csv,Caixin services,china_macro,CHINA,level,monthly,1,1,1,0,2023-05-31,2026-02-28,510,0.14049586776859505,
china_pmi_caixin_services_delta_1m,country_level_macro_data/china_pmi.csv,Caixin services,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2023-06-30,2026-02-28,495,0.13636363636363635,Derived from china_pmi_caixin_services
china_pmi_nbs_mfg,country_level_macro_data/china_pmi.csv,NBS manufacturing,china_macro,CHINA,level,monthly,1,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_pmi_nbs_mfg_delta_1m,country_level_macro_data/china_pmi.csv,NBS manufacturing,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_pmi_nbs_mfg
china_pmi_nbs_nonmfg,country_level_macro_data/china_pmi.csv,NBS non-manufacturing,china_macro,CHINA,level,monthly,1,1,1,0,2007-03-31,2026-02-28,3420,0.9421487603305785,
china_pmi_nbs_nonmfg_delta_1m,country_level_macro_data/china_pmi.csv,NBS non-manufacturing,china_macro,CHINA,delta_1m,monthly,1,1,1,0,2007-04-30,2026-02-28,3405,0.9380165289256198,Derived from china_pmi_nbs_nonmfg
china_ptb,country_level_macro_data/china & em price-to-book ratio.csv,China,china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_ptb_delta_1m,country_level_macro_data/china & em price-to-book ratio.csv,China,china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_ptb
china_ptb_em,country_level_macro_data/china & em price-to-book ratio.csv,Emerging markets,china_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_ptb_em_delta_1m,country_level_macro_data/china & em price-to-book ratio.csv,Emerging markets,china_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_ptb_em
china_ptb_spread,country_level_macro_data/china & em price-to-book ratio.csv,Spread (RHS),china_valuation,CHINA,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_ptb_spread_delta_1m,country_level_macro_data/china & em price-to-book ratio.csv,Spread (RHS),china_valuation,CHINA,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_ptb_spread
china_sse_composite_usd,country_level_macro_data/China Price History_SSE_Composite.xlsx,trade_price,china_market,CHINA,market_price_level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
china_sse_composite_usd_logchg_12m,country_level_macro_data/China Price History_SSE_Composite.xlsx,trade_price,china_market,CHINA,logchg_12m,monthly,0,1,1,0,2007-01-31,2026-02-28,3450,0.9504132231404959,Derived from china_sse_composite_usd
china_sse_composite_usd_logchg_1m,country_level_macro_data/China Price History_SSE_Composite.xlsx,trade_price,china_market,CHINA,logchg_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from china_sse_composite_usd
china_sse_composite_usd_mom_12_1,country_level_macro_data/China Price History_SSE_Composite.xlsx,trade_price,china_market,CHINA,mom_12_1,monthly,0,1,1,0,2007-02-28,2026-02-28,3435,0.9462809917355371,Derived from china_sse_composite_usd
em_div_yield,country_level_macro_data/em_global_div_yield.csv,Emerging markets,em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_div_yield_delta_1m,country_level_macro_data/em_global_div_yield.csv,Emerging markets,em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_div_yield
em_minus_global_div_yield,country_level_macro_data/em_global_div_yield.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_minus_global_div_yield_delta_1m,country_level_macro_data/em_global_div_yield.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_minus_global_div_yield
em_minus_global_pe,country_level_macro_data/em_global_pte.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_minus_global_pe_delta_1m,country_level_macro_data/em_global_pte.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_minus_global_pe
em_minus_global_ptb,country_level_macro_data/em_global_ptb.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_minus_global_ptb_delta_1m,country_level_macro_data/em_global_ptb.csv,Spread (RHS),em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_minus_global_ptb
em_pe,country_level_macro_data/em_global_pte.csv,Emerging markets,em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_pe_delta_1m,country_level_macro_data/em_global_pte.csv,Emerging markets,em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_pe
em_ptb,country_level_macro_data/em_global_ptb.csv,Emerging markets,em_global_valuation,EM_GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
em_ptb_delta_1m,country_level_macro_data/em_global_ptb.csv,Emerging markets,em_global_valuation,EM_GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from em_ptb
eq_em_relevance_flag,derived_v4,eq_em_relevance_flag,metadata_dummy,SLEEVE_SPECIFIC,dummy_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Static sleeve/group relevance indicator for v4 interactions.
eu_hy_eff_yield,country_level_macro_data/BAMLHE00EHYIEY.csv,BAMLHE00EHYIEY,credit_stress,EURO_AREA,level,daily,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
eu_hy_eff_yield_delta_1m,country_level_macro_data/BAMLHE00EHYIEY.csv,BAMLHE00EHYIEY,credit_stress,EURO_AREA,delta_1m,daily,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from eu_hy_eff_yield
eu_hy_oas,country_level_macro_data/BAMLHE00EHYIOAS.csv,BAMLHE00EHYIOAS,credit_stress,EURO_AREA,level,daily,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
eu_hy_oas_delta_1m,country_level_macro_data/BAMLHE00EHYIOAS.csv,BAMLHE00EHYIOAS,credit_stress,EURO_AREA,delta_1m,daily,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from eu_hy_oas
eu_ig_corp_tr_usd,country_level_macro_data/EU_IG_.xlsx,trade_price,eu_ig_market,EURO_AREA,market_price_level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
eu_ig_corp_tr_usd_logchg_12m,country_level_macro_data/EU_IG_.xlsx,trade_price,eu_ig_market,EURO_AREA,logchg_12m,monthly,0,1,1,0,2007-01-31,2026-02-28,3450,0.9504132231404959,Derived from eu_ig_corp_tr_usd
eu_ig_corp_tr_usd_logchg_1m,country_level_macro_data/EU_IG_.xlsx,trade_price,eu_ig_market,EURO_AREA,logchg_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from eu_ig_corp_tr_usd
eu_ig_corp_tr_usd_mom_12_1,country_level_macro_data/EU_IG_.xlsx,trade_price,eu_ig_market,EURO_AREA,mom_12_1,monthly,0,1,1,0,2007-02-28,2026-02-28,3435,0.9462809917355371,Derived from eu_ig_corp_tr_usd
global_div_yield,country_level_macro_data/em_global_div_yield.csv,Global index,em_global_valuation,GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
global_div_yield_delta_1m,country_level_macro_data/em_global_div_yield.csv,Global index,em_global_valuation,GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from global_div_yield
global_pe,country_level_macro_data/em_global_pte.csv,Global index,em_global_valuation,GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
global_pe_delta_1m,country_level_macro_data/em_global_pte.csv,Global index,em_global_valuation,GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from global_pe
global_ptb,country_level_macro_data/em_global_ptb.csv,Global index,em_global_valuation,GLOBAL,level,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,
global_ptb_delta_1m,country_level_macro_data/em_global_ptb.csv,Global index,em_global_valuation,GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Derived from global_ptb
horizon_120_flag,derived_v2_horizon,horizon_120_flag,horizon_conditioning,HORIZON,conditioning_feature,monthly,0,0,1,0,2006-01-31,2026-02-28,10890,1.0,Ten-year horizon dummy.
horizon_180_flag,derived_v2_horizon,horizon_180_flag,horizon_conditioning,HORIZON,conditioning_feature,monthly,0,0,1,0,2006-01-31,2026-02-28,10890,1.0,Fifteen-year horizon dummy.
horizon_60_flag,derived_v2_horizon,horizon_60_flag,horizon_conditioning,HORIZON,conditioning_feature,monthly,0,0,1,0,2006-01-31,2026-02-28,10890,1.0,Five-year horizon dummy.
horizon_years,derived_v2_horizon,horizon_years,horizon_conditioning,HORIZON,conditioning_feature,monthly,0,0,1,0,2006-01-31,2026-02-28,10890,1.0,Continuous horizon in years.
ig_oas,data/intermediate/feature_panel.csv,ig_oas,baseline_global_macro,GLOBAL,level_or_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Inherited global/stress feature from the frozen baseline panel.
ig_oas_delta_1m,data/intermediate/feature_panel.csv,ig_oas_delta_1m,baseline_global_macro,GLOBAL,delta_1m,monthly,0,1,1,0,2006-02-28,2026-02-28,3615,0.9958677685950413,Inherited global/stress feature from the frozen baseline panel.
ig_oas_level,data/intermediate/feature_panel.csv,ig_oas_level,baseline_global_macro,GLOBAL,level_or_flag,monthly,0,1,1,0,2006-01-31,2026-02-28,3630,1.0,Inherited global/stress feature from the frozen baseline panel.
infl_EA,data/intermediate/feature_panel.csv,infl_EA,baseline_macro_canonical,GLOBAL_CANONICAL,level_or_yoy,monthly,1,1,1,0,2007-02-28,2026-02-28,3435,0.9462809917355371,Inherited canonical macro feature from frozen baseline panel.
infl_EA_delta_1m,data/intermediate/feature_panel.csv,infl_EA_delta_1m,baseline_macro_canonical,GLOBAL_CANONICAL,delta_1m,monthly,1,1,1,0,2007-03-31,2026-02-28,3420,0.9421487603305785,Inherited canonical macro feature from frozen baseline panel.
infl_JP,data/intermediate/feature_panel.csv,infl_JP,baseline_macro_canonical,GLOBAL_CANONICAL,level_or_yoy,monthly,1,1,1,0,2007-02-28,2026-02-28,3435,0.9462809917355371,Inherited canonical macro feature from frozen baseline panel.
infl_JP_delta_1m,data/intermediate/feature_panel.csv,infl_JP_delta_1m,baseline_macro_canonical,GLOBAL_CANONICAL,delta_1m,monthly,1,1,1,0,2007-03-31,2026-02-28,3420,0.9421487603305785,Inherited canonical macro feature from frozen baseline panel.
infl_US,data/intermediate/feature_panel.csv,infl_US,baseline_macro_canonical,GLOBAL_CANONICAL,level_or_yoy,monthly,1,1,1,0,2007-02-28,2026-02-28,3435,0.9462809917355371,Inherited canonical macro feature from frozen baseline panel.
infl_US_delta_1m,data/intermediate/feature_panel.csv,infl_US_delta_1m,baseline_macro_canonical,GLOBAL_CANONICAL,delta_1m,monthly,1,1,1,0,2007-03-31,2026-02-28,3420,0.9421487603305785,Inherited canonical macro feature from frozen baseline panel.
int_alt_gld_x_mom_12_1,derived_interaction,mom_12_1 x sleeve_dummy_alt_gld,interaction,ALT_GLD,sleeve_dummy_x_predictor,monthly,0,1,1,1,2006-01-31,2026-02-28,3382,0.9316804407713498,Sleeve-specific momentum slope for ALT_GLD.
int_alt_gld_x_vol_12m,derived_interaction,vol_12m x sleeve_dummy_alt_gld,interaction,ALT_GLD,sleeve_dummy_x_predictor,monthly,0,1,1,1,2006-01-31,2026-02-28,3389,0.9336088154269973,Sleeve-specific 12m volatility slope for ALT_GLD.
int_alternative_x_us_real10y,derived_interaction,us_real10y x asset_group_dummy_alternative,interaction,ALTERNATIVE,asset_group_dummy_x_predictor,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,Asset-group real-rate interaction for Alternative sleeves.
int_alternative_x_vix,derived_interaction,vix x asset_group_dummy_alternative,interaction,ALTERNATIVE,asset_group_dummy_x_predictor,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,Asset-group VIX exposure interaction for Alternative sleeves.
int_cape_local_x_us_real10y,derived_interaction,cape_local x us_real10y,interaction,LOCAL_MAPPED,cape_x_real_rate,monthly,0,1,1,1,2006-01-31,2026-02-28,2662,0.7333333333333333,Local CAPE by US real-rate interaction.
int_cape_usa_x_us_real10y,derived_interaction,cape_usa x us_real10y,interaction,US,cape_x_real_rate,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,US CAPE by US real-rate interaction.
int_china_cli_x_eq_em,derived_interaction,china_cli x eq_em_relevance_flag,interaction,CHINA_EM,china_block_x_em_relevance,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,China CLI relevance-gated to EQ_EM.
int_china_cli_x_ig_oas,derived_interaction,china_cli x ig_oas,interaction,CHINA_GLOBAL,cli_x_slope_or_spread,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,China CLI by IG-OAS spread interaction.
int_china_div_yield_spread_x_eq_em,derived_interaction,china_div_yield_spread x eq_em_relevance_flag,interaction,CHINA_EM,china_block_x_em_relevance,monthly,0,1,1,1,2006-01-31,2026-02-28,3630,1.0,China valuation spread relevance-gated to EQ_EM.
